[ 2016-09-25T15:18:45+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T18:27:55+08:00 ] /wd/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:55+08:00 ] /wd/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T18:27:55+08:00 ] /wd/ | INFO: Tag[ view_template ] --START--
[ 2016-09-25T18:27:55+08:00 ] /wd/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:55+08:00 ] /wd/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T18:27:55+08:00 ] /wd/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-25T18:27:55+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2016-09-25T18:27:55+08:00 ] /wd/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-09-25T18:27:55+08:00 ] /wd/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-09-25T18:27:55+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 33 and defined TagLib.class.php 第 111 行.
[ 2016-09-25T18:27:55+08:00 ] /wd/ | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-09-25T18:27:55+08:00 ] /wd/ | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-09-25T18:27:56+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-09-25T18:27:56+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.015600s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Run ParseTemplate Behavior [ RunTime:1.076401s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Tag[ view_parse ] --END-- [ RunTime:1.076401s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Tag[ view_filter ] --START--
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Tag[ view_end ] --START--
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.015600s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.015600s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-25T18:27:56+08:00 ] /wd/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T18:27:56+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T18:27:56+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
